nome;nota1;nota2;nota3;nota4;extra;faltas
Joao Carlos;8;10;9;8.77;1;3
Juliana;10;10;10;10;1;0
Joyce;10;6;8;7;0;18
Pedro;1;6;8;2;1;20
Aline;3;7;5;4;0;16
Enzonzo;1;1;0.5;8;1;5
Neymar;0;0.5;0.33;1;0;22
Lucas Silva;6;6;6;6;1;2
Mariana Costa;7;7;7;7;0;4
Gabriel Lima;8;7;6;8;0;6
Fernanda Rocha;5;5;5;5;1;17
Rafael Souza;9;8;9;8;1;1
Beatriz Alves;6;7;6;6;0;14
Thiago Pereira;4;5;6;5;1;19
Carla Mendes;3;4;5;4;0;8
Vinicius Oliveira;2;3;4;3;1;21
Amanda Ferreira;6;6;5;6;0;3
Bruno Martins;7;6;7;6;1;0
Larissa Gomes;8;8;7;9;0;2
Diego Santos;5;6;5;6;1;15
Luqueta Silva;6;6;6;6;1;2
