nome;faltas;media;status
Joao Carlos;3;9.94;Aprovado por media
Juliana;0;10;Aprovado por media
Lucas Silva;2;7.0;Aprovado por media
Mariana Costa;4;7.0;Aprovado por media
Gabriel Lima;6;7.25;Aprovado por media
Rafael Souza;1;9.5;Aprovado por media
Bruno Martins;0;7.5;Aprovado por media
Larissa Gomes;2;8.0;Aprovado por media
Luqueta Silva;2;7.0;Aprovado por media
Joyce;18;7.75;Reprovado por falta
Pedro;20;5.25;Reprovado por falta
Aline;16;4.75;Reprovado por falta
Neymar;22;0.46;Reprovado por falta
Fernanda Rocha;17;6.0;Reprovado por falta
Thiago Pereira;19;6.0;Reprovado por falta
Vinicius Oliveira;21;4.0;Reprovado por falta
Diego Santos;15;6.5;Reprovado por falta
Enzonzo;5;5.31;Aprovado
Beatriz Alves;14;3.62;reprovado
Carla Mendes;8;4.5;reprovado
Amanda Ferreira;3;4.38;reprovado
Juliana;0;10;Laureado
